courses,average_rating,name,slug,num_courses,num_reviews,sentiment
"['ARTH389L', 'ARTH255', 'ARTH768', 'ARTH668A', 'ARTH372', 'ARTH488L', 'ARTH488M', 'ARTH488B', 'ARTH768B', 'ARTH260', 'ARTH768C', 'ARTH389K', 'ARTH496', 'ARTH386', 'ARTH488F', 'ARTH768A', 'ARTH260C', 'ARTH262', 'ARTH799', 'ARTH260C', 'ARTH262', 'ARTH260C', 'ARTH260', 'ARTH698', 'ARTH260C', 'ARTH262']",2.6364,Abigail McEwen,mcewen,26,11,-0.47282957488840277
"['STAT701', 'STAT700', 'STAT750', 'STAT650', 'STAT410', 'STAT420', 'STAT386', 'SURV410', 'STAT401']",2.7,Abram Kagan,kagan,9,10,-0.20448238849639894
"['CMSC433', 'CMSC436', 'CMSC798', 'CMSC436', 'CMSC436', 'CMSC436']",2.6429,Adam Porter,porter_adam,6,14,-0.43316912225314547
"['ENEE222', 'ENEE324', 'ENEE620', 'ENEE322', 'ENEE322H', 'EDSP652', 'ENEE324H', 'ENEE222', 'ENEE222', 'ENEE322', 'ENEE222', 'ENEE322', 'ENEE222', 'ENEE322', 'ENEE222', 'ENEE322', 'ENEE323']",4.2941,Adrianos Papamarcou,papamarcou,17,34,0.17407241814276753
"['ENEE307', 'ENEE313', 'ENEE416', 'ENEE601', 'ENEE480', 'ENEE413', 'ENEE303', 'ENEE600', 'EDSP652', 'ENEE303H', 'ENEE313', 'ENEE313H', 'ENEE313', 'ENEE600', 'ENEE601', 'ENEE303', 'ENEE600', 'ENEE601', 'ENEE600']",2.3478,Agisilaos Iliadis,iliadis,19,23,-0.9081153480902963
"['GEOL342', 'GEOL489R', 'GEOL124', 'GEOL436', 'GEOL110', 'GEOL224', 'FIRE162', 'GEOL789R', 'GEOL789B', 'GEOL497', 'GEOL497H', 'GEOL789P', 'GEOL789Y', 'GEOL789C', 'AOSC436', 'GEOL342', 'GERM103', 'GEOL100', 'GEOL789R', 'GEOL789Y', 'GEOL436', 'GEOL789C', 'AOSC436', 'GEOL789R', 'GEOL342', 'GEOL386']",2.6154,Alan Kaufman,kaufman_alan,26,13,-0.5374795840336726
"['CCJS300', 'CCJS352', 'CCJS418P', 'CCJS200', 'CCJS300', 'CCJS418P', 'CCJS300', 'CCJS418P', 'CCJS300', 'CCJS418P', 'CCJS200', 'CCJS300', 'CCJS200', 'CCJS300', 'CCJS300', 'CCJS418P', 'CCJS300', 'CCJS418P', 'CCJS300', 'CCJS418P']",4.5,Alan Lehman,lehman,20,24,0.42691246420145035
"['ASTR330', 'CPSP119D', 'PHYS106', 'ASTR340', 'CPSP118D', 'PHYS102', 'ASTR230', 'CPSP239D', 'PHYS131', 'CPSD100', 'CPSP218D', 'CPSD101', 'CPSD200', 'ASTR300', 'CPSD230', 'CPSP249D', 'CPSP369D', 'CPSD240', 'CPSP359D', 'CPSD250', 'ASTR422', 'ASTR421', 'ASTR230', 'CPSD100', 'CPSD101', 'ASTR230', 'ASTR330', 'CPSD100', 'CPSD101', 'CPSD200', 'CPSD230', 'CPSD240', 'CPSD250']",3.5,Alan Peel,peel,33,12,-0.303664098183314
"['ENCE655', 'ENCE411', 'ENCE651', 'ENCE755', 'MEES698Q', 'MEES698W', 'EDSP652', 'ENCE651', 'MEES698W']",2.8182,Alba Torrents,torrents,9,11,0.049411286007274284
"['PHYS273', 'PHYS276', 'PHYS405', 'PHYS402', 'PHYS275', 'PHYS273H', 'PHYS758E', 'PHYS420', 'PHYS371', 'PHYS371', 'PHYS758E', 'PHYS161']",2.3333,Alberto Belloni,belloni,12,24,-0.6616670315464338
